Dataset,Detector_A,Detector_B,N,Truncated,N_err_A,N_err_B,N_both_err,Pct_err_A,Pct_err_B,Overlap_A_given_B_wrong,Overlap_B_given_A_wrong,Jaccard_err,Cohen_kappa
PartialSpoof,BAM,CFPRF,71237,False,381,4187,227,0.53,5.88,0.0542,0.5958,0.0523,0.7435
PartialSpoof,BAM,MRM,71237,False,381,668,156,0.53,0.94,0.2335,0.4094,0.1747,0.9468
PartialSpoof,CFPRF,MRM,71237,False,4187,668,367,5.88,0.94,0.5494,0.0877,0.0818,0.7456
LlamaPS,BAM,CFPRF,140616,False,18436,11636,4339,13.11,8.28,0.3729,0.2354,0.1686,0.2794
LlamaPS,BAM,MRM,140607,True,18434,10119,2513,13.11,7.20,0.2483,0.1363,0.0965,0.1029
LlamaPS,CFPRF,MRM,140607,True,11636,10119,6997,8.28,7.20,0.6915,0.6013,0.4741,0.1737
PartialEdit,BAM,CFPRF,88330,False,4354,3289,289,4.93,3.72,0.0879,0.0664,0.0393,0.0347
PartialEdit,BAM,MRM,88330,False,4354,1205,262,4.93,1.36,0.2174,0.0602,0.0495,0.0745
PartialEdit,CFPRF,MRM,88330,False,3289,1205,201,3.72,1.36,0.1668,0.0611,0.0468,0.0709
HQ-MPSD,BAM,CFPRF,21588,False,1353,2692,545,6.27,12.47,0.2025,0.4028,0.1557,0.6015
HQ-MPSD,BAM,MRM,21588,False,1353,2444,631,6.27,11.32,0.2582,0.4664,0.1993,0.6644
HQ-MPSD,CFPRF,MRM,21588,False,2692,2444,1595,12.47,11.32,0.6526,0.5925,0.4504,0.6757
