utterance_id,category,raw_utt_label,binary_label,is_partial_spoof
103_1241_000017_000000,bonafide,0,0,0
103_1241_000020_000001,bonafide,0,0,0
103_1241_000021_000000,bonafide,0,0,0
103_1241_000025_000007,bonafide,0,0,0
103_1241_000025_000013,bonafide,0,0,0
103_1241_000027_000002,bonafide,0,0,0
103_1241_000028_000003,bonafide,0,0,0
103_1241_000034_000005,bonafide,0,0,0
103_1241_000039_000000,bonafide,0,0,0
103_1241_000040_000000,bonafide,0,0,0
103_1241_000042_000001,bonafide,0,0,0
103_1241_000045_000001,bonafide,0,0,0
103_1241_000053_000000,bonafide,0,0,0
103_1241_000054_000007,bonafide,0,0,0
103_1241_000054_000010,bonafide,0,0,0
103_1241_000066_000006,bonafide,0,0,0
103_1241_000074_000001,bonafide,0,0,0
1116_132847_000004_000000,bonafide,0,0,0
1116_132847_000004_000001,bonafide,0,0,0
1116_132847_000007_000000,bonafide,0,0,0
1116_132847_000009_000000,bonafide,0,0,0
1116_132847_000010_000000,bonafide,0,0,0
1116_132847_000012_000000,bonafide,0,0,0
1116_132847_000013_000001,bonafide,0,0,0
1116_132847_000014_000000,bonafide,0,0,0
1116_132847_000014_000001,bonafide,0,0,0
1116_132847_000014_000002,bonafide,0,0,0
1116_132847_000014_000003,bonafide,0,0,0
1116_132847_000017_000000,bonafide,0,0,0
1116_132847_000017_000001,bonafide,0,0,0
1116_132847_000018_000000,bonafide,0,0,0
1116_132847_000019_000001,bonafide,0,0,0
1116_132847_000019_000002,bonafide,0,0,0
1116_132847_000021_000002,bonafide,0,0,0
1116_132847_000022_000000,bonafide,0,0,0
1116_132847_000023_000000,bonafide,0,0,0
1116_132847_000023_000002,bonafide,0,0,0
1116_132847_000024_000001,bonafide,0,0,0
1116_132847_000025_000000,bonafide,0,0,0
1116_132847_000025_000001,bonafide,0,0,0
1116_132847_000025_000002,bonafide,0,0,0
1116_132847_000026_000002,bonafide,0,0,0
1116_132847_000027_000002,bonafide,0,0,0
1116_132847_000029_000000,bonafide,0,0,0
1116_132847_000038_000000,bonafide,0,0,0
1116_132847_000038_000001,bonafide,0,0,0
1116_132847_000039_000000,bonafide,0,0,0
1116_132847_000039_000001,bonafide,0,0,0
1116_132847_000043_000000,bonafide,0,0,0
1116_132847_000046_000000,bonafide,0,0,0
1116_132847_000048_000000,bonafide,0,0,0
1116_132847_000052_000002,bonafide,0,0,0
1116_132847_000054_000000,bonafide,0,0,0
1116_132847_000058_000001,bonafide,0,0,0
1116_132847_000058_000002,bonafide,0,0,0
1116_132847_000059_000000,bonafide,0,0,0
1116_132847_000062_000001,bonafide,0,0,0
1116_132847_000069_000000,bonafide,0,0,0
1116_132847_000071_000000,bonafide,0,0,0
1116_132847_000072_000001,bonafide,0,0,0
1116_132847_000074_000002,bonafide,0,0,0
1116_132847_000075_000000,bonafide,0,0,0
1116_132847_000075_000001,bonafide,0,0,0
1116_132847_000076_000000,bonafide,0,0,0
1116_132847_000077_000000,bonafide,0,0,0
1116_132847_000077_000001,bonafide,0,0,0
1116_132847_000077_000002,bonafide,0,0,0
1116_132847_000083_000000,bonafide,0,0,0
1116_132847_000084_000002,bonafide,0,0,0
1116_132847_000086_000000,bonafide,0,0,0
1116_132847_000087_000001,bonafide,0,0,0
1116_132851_000005_000001,bonafide,0,0,0
1116_132851_000006_000001,bonafide,0,0,0
1116_132851_000011_000001,bonafide,0,0,0
1116_132851_000013_000000,bonafide,0,0,0
1116_132851_000014_000000,bonafide,0,0,0
1116_132851_000015_000000,bonafide,0,0,0
1116_132851_000016_000000,bonafide,0,0,0
1116_132851_000021_000000,bonafide,0,0,0
1116_132851_000024_000002,bonafide,0,0,0
1116_132851_000025_000000,bonafide,0,0,0
1116_132851_000026_000000,bonafide,0,0,0
1116_132851_000026_000001,bonafide,0,0,0
1116_132851_000027_000001,bonafide,0,0,0
1116_132851_000028_000000,bonafide,0,0,0
1116_132851_000028_000001,bonafide,0,0,0
1116_132851_000028_000002,bonafide,0,0,0
1116_132851_000029_000001,bonafide,0,0,0
1116_132851_000030_000000,bonafide,0,0,0
1116_132851_000033_000002,bonafide,0,0,0
1116_132851_000033_000003,bonafide,0,0,0
1116_132851_000034_000000,bonafide,0,0,0
1116_132851_000034_000001,bonafide,0,0,0
1116_132851_000035_000000,bonafide,0,0,0
1116_132851_000035_000001,bonafide,0,0,0
1116_132851_000035_000002,bonafide,0,0,0
1116_132851_000036_000002,bonafide,0,0,0
1116_132851_000037_000001,bonafide,0,0,0
1116_132851_000037_000003,bonafide,0,0,0
1116_132851_000038_000001,bonafide,0,0,0
1116_132851_000038_000003,bonafide,0,0,0
1116_132851_000039_000000,bonafide,0,0,0
1116_132851_000040_000002,bonafide,0,0,0
1116_132851_000040_000005,bonafide,0,0,0
1116_132851_000041_000001,bonafide,0,0,0
1116_132851_000042_000000,bonafide,0,0,0
1116_132851_000043_000000,bonafide,0,0,0
1116_132851_000044_000001,bonafide,0,0,0
1116_132851_000045_000000,bonafide,0,0,0
1116_137572_000000_000001,bonafide,0,0,0
1116_137572_000000_000002,bonafide,0,0,0
1116_137572_000001_000000,bonafide,0,0,0
1116_137572_000001_000001,bonafide,0,0,0
1116_137572_000001_000002,bonafide,0,0,0
1116_137572_000001_000003,bonafide,0,0,0
1116_137572_000001_000005,bonafide,0,0,0
1116_137572_000002_000000,bonafide,0,0,0
1116_137572_000003_000001,bonafide,0,0,0
1116_137572_000004_000000,bonafide,0,0,0
1116_137572_000004_000001,bonafide,0,0,0
1116_137572_000004_000003,bonafide,0,0,0
1116_137572_000004_000004,bonafide,0,0,0
1116_137572_000004_000005,bonafide,0,0,0
1116_137572_000005_000000,bonafide,0,0,0
1116_137572_000005_000001,bonafide,0,0,0
1116_137572_000006_000000,bonafide,0,0,0
1116_137572_000006_000004,bonafide,0,0,0
1116_137572_000007_000002,bonafide,0,0,0
1116_137572_000008_000001,bonafide,0,0,0
1116_137572_000012_000000,bonafide,0,0,0
1116_137572_000012_000001,bonafide,0,0,0
1116_137572_000013_000000,bonafide,0,0,0
1116_137572_000013_000001,bonafide,0,0,0
1116_137572_000013_000004,bonafide,0,0,0
1116_137572_000013_000005,bonafide,0,0,0
1116_137572_000014_000001,bonafide,0,0,0
1116_137572_000014_000002,bonafide,0,0,0
1116_137572_000015_000000,bonafide,0,0,0
1116_137572_000015_000001,bonafide,0,0,0
1116_137572_000015_000002,bonafide,0,0,0
1116_137572_000015_000003,bonafide,0,0,0
1116_137572_000016_000000,bonafide,0,0,0
1116_137572_000016_000002,bonafide,0,0,0
1116_137572_000016_000003,bonafide,0,0,0
1116_137572_000017_000000,bonafide,0,0,0
1116_137572_000017_000001,bonafide,0,0,0
1116_137572_000017_000004,bonafide,0,0,0
1116_137572_000018_000001,bonafide,0,0,0
1116_137572_000019_000000,bonafide,0,0,0
1116_137572_000020_000000,bonafide,0,0,0
1116_137572_000020_000001,bonafide,0,0,0
1116_137572_000020_000002,bonafide,0,0,0
1116_137572_000021_000000,bonafide,0,0,0
1116_137572_000021_000001,bonafide,0,0,0
1116_137572_000021_000002,bonafide,0,0,0
1116_137572_000021_000003,bonafide,0,0,0
1116_137572_000021_000004,bonafide,0,0,0
1116_137572_000021_000005,bonafide,0,0,0
1116_137572_000022_000001,bonafide,0,0,0
1116_137572_000023_000002,bonafide,0,0,0
1116_137572_000024_000000,bonafide,0,0,0
1116_137572_000024_000001,bonafide,0,0,0
1116_137572_000025_000000,bonafide,0,0,0
1116_137572_000025_000002,bonafide,0,0,0
1116_137572_000026_000001,bonafide,0,0,0
1116_137572_000026_000002,bonafide,0,0,0
1116_137572_000027_000001,bonafide,0,0,0
1116_137572_000028_000000,bonafide,0,0,0
1116_137572_000028_000001,bonafide,0,0,0
1116_137572_000028_000002,bonafide,0,0,0
1116_137572_000030_000000,bonafide,0,0,0
1116_137572_000030_000001,bonafide,0,0,0
1116_137572_000030_000002,bonafide,0,0,0
1116_137572_000030_000007,bonafide,0,0,0
1116_137572_000030_000008,bonafide,0,0,0
1116_137572_000031_000000,bonafide,0,0,0
1116_137572_000031_000001,bonafide,0,0,0
1116_137572_000032_000000,bonafide,0,0,0
1116_137572_000032_000001,bonafide,0,0,0
1116_137572_000033_000001,bonafide,0,0,0
1116_137572_000036_000001,bonafide,0,0,0
1116_137572_000037_000000,bonafide,0,0,0
1116_137572_000037_000002,bonafide,0,0,0
1116_137572_000038_000000,bonafide,0,0,0
1116_137572_000038_000002,bonafide,0,0,0
1116_137572_000040_000000,bonafide,0,0,0
1116_137572_000041_000000,bonafide,0,0,0
1116_137572_000041_000001,bonafide,0,0,0
1116_137572_000042_000001,bonafide,0,0,0
1116_137572_000042_000002,bonafide,0,0,0
1116_137572_000043_000000,bonafide,0,0,0
1116_137572_000043_000001,bonafide,0,0,0
1116_137572_000043_000002,bonafide,0,0,0
1116_137572_000044_000001,bonafide,0,0,0
1116_137572_000044_000002,bonafide,0,0,0
1116_137572_000044_000003,bonafide,0,0,0
1116_137572_000046_000000,bonafide,0,0,0
1116_137572_000046_000002,bonafide,0,0,0
1263_138246_000001_000000,bonafide,0,0,0
1263_138246_000003_000001,bonafide,0,0,0
1263_138246_000003_000002,bonafide,0,0,0
1263_138246_000004_000000,bonafide,0,0,0
1263_138246_000004_000001,bonafide,0,0,0
1263_138246_000005_000000,bonafide,0,0,0
1263_138246_000005_000001,bonafide,0,0,0
1263_138246_000006_000001,bonafide,0,0,0
1263_138246_000008_000000,bonafide,0,0,0
1263_138246_000009_000000,bonafide,0,0,0
1263_138246_000010_000000,bonafide,0,0,0
1263_138246_000011_000001,bonafide,0,0,0
1263_138246_000011_000002,bonafide,0,0,0
1263_138246_000013_000000,bonafide,0,0,0
1263_138246_000013_000001,bonafide,0,0,0
1263_138246_000014_000000,bonafide,0,0,0
1263_138246_000017_000000,bonafide,0,0,0
1263_138246_000018_000000,bonafide,0,0,0
1263_138246_000020_000000,bonafide,0,0,0
1263_138246_000021_000000,bonafide,0,0,0
1263_138246_000022_000000,bonafide,0,0,0
1263_138246_000023_000001,bonafide,0,0,0
1263_138246_000027_000000,bonafide,0,0,0
1263_138246_000028_000001,bonafide,0,0,0
1263_138246_000031_000000,bonafide,0,0,0
1263_138246_000031_000001,bonafide,0,0,0
1263_138246_000033_000000,bonafide,0,0,0
1263_138246_000035_000000,bonafide,0,0,0
1263_138246_000036_000000,bonafide,0,0,0
1263_138246_000036_000001,bonafide,0,0,0
1263_138246_000037_000000,bonafide,0,0,0
1263_138246_000038_000000,bonafide,0,0,0
1263_138246_000038_000001,bonafide,0,0,0
1263_138246_000038_000002,bonafide,0,0,0
1263_138246_000040_000001,bonafide,0,0,0
1263_138246_000042_000000,bonafide,0,0,0
1263_138246_000043_000000,bonafide,0,0,0
1263_138246_000045_000001,bonafide,0,0,0
1263_138246_000048_000001,bonafide,0,0,0
1263_138246_000050_000000,bonafide,0,0,0
1263_138246_000051_000000,bonafide,0,0,0
1263_138246_000055_000001,bonafide,0,0,0
1263_138246_000056_000000,bonafide,0,0,0
1263_138246_000056_000001,bonafide,0,0,0
1263_138246_000060_000000,bonafide,0,0,0
1263_138246_000061_000000,bonafide,0,0,0
1263_138246_000062_000000,bonafide,0,0,0
1263_139804_000003_000002,bonafide,0,0,0
1263_139804_000003_000003,bonafide,0,0,0
1263_139804_000003_000004,bonafide,0,0,0
1263_139804_000004_000000,bonafide,0,0,0
1263_139804_000005_000004,bonafide,0,0,0
1263_139804_000005_000005,bonafide,0,0,0
1263_139804_000005_000006,bonafide,0,0,0
1263_139804_000005_000007,bonafide,0,0,0
1263_139804_000006_000000,bonafide,0,0,0
1263_139804_000007_000000,bonafide,0,0,0
1263_139804_000010_000000,bonafide,0,0,0
1263_139804_000011_000004,bonafide,0,0,0
1263_139804_000011_000005,bonafide,0,0,0
1263_139804_000011_000008,bonafide,0,0,0
